,street,dir_word,township,postal_code,count_date,year,section,count_direction,one_way,avg_perweekday,latitude,longitude
2439,AV DES PYRENEES,PYRENEES (AV DES PYRENEES),L'union,31561,2017-05-22,2017-01-01,ENTRE RUE DU PUY DE SANCY ET IMP COL D'APIN,VERS AV DE GAVARNIE,False,3435.0,43.65217855026054,1.4965995368412737
2440,RUE DU PUY DE SANCY,SANCY (RUE DU PUY DE SANCY),L'union,31561,2017-05-22,2017-01-01,ENTRE AV DES PYRENEES ET RUE DE MERCOIRE,LES DEUX SENS,False,3282.0,43.65703316840828,1.4902164355584078
2441,AV DE CASTRES,CASTRES (AV DE CASTRES),Toulouse,31555,2017-06-09,2017-01-01,ENTRE RUE DES ILES ET AV LASBORDES,VERS ROCADE,False,7067.0,43.59840763262997,1.4807614986539097
2442,ANC CHE DE BRAX,BRAX (ANC CHE DE BRAX),Pibrac,31417,2017-04-21,2017-01-01,ENTRE RUE PETIT PIERRE ET PAS DES CAPELLES,VERS RUE DE LA GARE,False,1259.0,43.6191346916678,1.281971274210584
2443,RTE DE LEGUEVIN,LEGUEVIN (RTE DE LEGUEVIN),Pibrac,31417,2017-04-21,2017-01-01,ENTRE RUE PRINCIPALE ET AV BALARDOU,VERS RUE DES PINSONS,False,4158.0,43.60888358385423,1.2637751974660147
2444,BD DE BONREPOS,BONREPOS (BD DE BONREPOS),Toulouse,31555,2017-04-19,2017-01-01,ENTRE RUE RAYMOND IV ET RUE MATABIAU,VERS RUE MATABIAU,True,22291.0,43.61155447284143,1.4522478998395514
2445,CHE D EN SIGAL,SIGAL (CHE D EN SIGAL)__COLOMIERS,Colomiers,31149,2017-04-19,2017-01-01,ENTRE ALL DE LA BLANQUETTE (est) ET CHE D'E,VERS ALL DE LA BLANQUETTE,False,300.0,43.604407400016086,1.3307790456879105
2446,RUE DES ANTILLES,ANTILLES (RUE DES ANTILLES),Balma,31044,2017-03-21,2017-01-01,ENTRE RUE SAINT JEAN ET RUE DES BALEARES,VERS RUE SAINT JEAN,False,118.0,43.610286153159436,1.4947552597731393
2447,CHE SAINT PIERRE,PIERRE (CHE SAINT PIERRE),Tournefeuille,31557,2017-09-14,2017-01-01,ENTRE RUE DU LAURAGAIS ET RUE DE CERDAGNE,VERS RUE DU LAURAGAIS,False,3474.0,43.583770023465036,1.3311976132334336
2448,RUE DE PASSERIVE,PASSERIVE (RUE DE PASSERIVE),Tournefeuille,31557,2017-09-14,2017-01-01,ENTRE CHE LARRAMET ET RUE DES GRAVES,VERS CHE LARRAMET,False,1039.0,43.56493507116814,1.3356341672728367
2449,CHE DU BOIS,BOIS (CHE DU BOIS),Tournefeuille,31557,2017-09-14,2017-01-01,ENTRE CHE BORDENOIRE ET IMP DU BOIS,VERS CHE DE BORDENOIRE,False,112.0,43.564498730762224,1.3559878351315486
2450,ALL DE LA FONTAINE,FONTAINE (ALL DE LA FONTAINE),Colomiers,31149,2017-03-17,2017-01-01,ENTRE RUE CAYRE ET CHE DU VALLESPIR,VERS CHE VALLESPIR,False,251.0,43.607037511977076,1.3498091981403406
2451,ALL DE LA FONTAINE,FONTAINE (ALL DE LA FONTAINE),Colomiers,31149,2017-03-17,2017-01-01,ENTRE CHE DU PAGE ET CHE DE SALUT,VERS CHE DU PAGE,False,437.0,43.607037511977076,1.3498091981403406
2452,AV DES ETATS UNIS,UNIS (AV DES ETATS UNIS),Toulouse,31555,2017-03-17,2017-01-01,ENTRE AV DE FONDEYRE ET RUE PADER,VERS RUE PADER,False,8827.0,43.63411109847785,1.4312137227906025
2453,AV SALVADOR ALLENDE,ALLENDE (AV SALVADOR ALLENDE),Aucamville,31022,2017-09-25,2017-01-01,ENTRE CHE BELLEGARIGUE ET RUE D'OC,VERS AV DE FRONTON,False,8738.0,43.661182371752986,1.4269375720230286
2454,BD PIERRE ET MARIE CURIE,CURIE (BD PIERRE ET MARIE CURIE),Toulouse,31555,2016-03-28,2016-01-01,ENTRE RUE CAMPISTRON ET RUE AGHONNE,VERSBARRIERE DE PARIS,False,9280.0,43.625076825897885,1.441651370591541
